district,area,perch,bedrooms,bathrooms,kitchen_area_sqft,parking_spots,has_garden,has_ac,water_supply,electricity,floors,year_built,price_lkr,nearest_city,property_type,house_size_sqft,house_age,condition,furnishing_status,road_access_width_ft,distance_to_main_road_km,distance_to_town_km,has_boundary_wall,has_servant_room,has_hot_water,has_security,roof_type,floor_type,listed_year,price_per_perch,bathroom_bedroom_ratio,luxury_score,location_category,house_selling_price_lkr
Colombo,Borella,15,6,5,119,2,TRUE,TRUE,Both,Single phase,2,1998,43561668,Colombo,House,3260,28,Needs renovation,Unfurnished,15,1.07,2.47,TRUE,FALSE,TRUE,FALSE,Asbestos,Cement,2025,2904111,0.83,7,Urban,128304000
Matale,Matale Central,11,4,4,125,0,FALSE,TRUE,Pipe-borne,Single phase,1,2009,11127484,Matale,House,2110,17,Average,Semi furnished,25,3.19,6.15,FALSE,TRUE,FALSE,FALSE,Tile,Granite,2023,1011589,1,3,Semi-urban,26942000
Kalutara,Panadura,32,6,5,250,1,FALSE,TRUE,Well,Single phase,3,2002,49184532,Kalutara,House,3320,24,Average,Fully furnished,25,1.81,3.7,FALSE,FALSE,TRUE,FALSE,Concrete slab,Cement,2023,1537017,0.83,6,Urban,85648000
Ampara,Ampara Central,7,3,2,119,1,TRUE,TRUE,Both,Three phase,2,2004,9765186,Ampara,House,1710,22,Average,Semi furnished,12,4.89,5.97,TRUE,FALSE,TRUE,FALSE,Concrete slab,Tile,2023,1395027,0.67,8,Rural,21640000
Ratnapura,Ratnapura Town,4,3,2,39,0,TRUE,FALSE,Pipe-borne,Three phase,1,2020,4949280,Ratnapura,House,1480,6,Good,Unfurnished,10,3.86,7.39,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2025,1237320,0.67,3,Semi-urban,16769000
Galle,Hikkaduwa,3,1,1,35,0,TRUE,TRUE,Both,Three phase,1,1987,4553512,Galle,House,660,39,Needs renovation,Unfurnished,12,0.8,3.79,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2024,1517837,1,5,Urban,8052000
Kalutara,Beruwala,2,1,1,35,0,TRUE,TRUE,Both,Single phase,2,2013,4072841,Kalutara,Annex,760,13,Average,Semi furnished,12,1.56,3.93,TRUE,FALSE,FALSE,FALSE,Concrete slab,Cement,2025,2036420,1,5,Urban,10514000
Kegalle,Kegalle Central,10,3,2,140,1,FALSE,TRUE,Well,Three phase,2,2012,17629333,Kegalle,House,1970,14,Average,Semi furnished,12,0.7,1.63,TRUE,FALSE,TRUE,TRUE,Concrete slab,Cement,2024,1762933,0.67,8,Semi-urban,35877000
Kegalle,Kegalle Central,26,7,5,180,2,FALSE,FALSE,Well,Three phase,3,2013,24234160,Kegalle,Villa,3790,13,Average,Fully furnished,12,0.71,11.81,TRUE,FALSE,TRUE,FALSE,Concrete slab,Cement,2023,932083,0.71,7,Semi-urban,66484000
Kegalle,Kegalle Central,3,1,1,35,2,FALSE,TRUE,Both,Three phase,1,1995,4449256,Kegalle,House,670,31,Needs renovation,Unfurnished,12,4.23,10.07,TRUE,FALSE,TRUE,TRUE,Tile,Tile,2025,1483085,1,8,Semi-urban,7282000
Monaragala,Monaragala Central,33,6,5,250,3,FALSE,FALSE,Both,Single phase,3,1994,33804252,Monaragala,Villa,3540,32,Needs renovation,Semi furnished,12,5.95,15.14,TRUE,FALSE,TRUE,FALSE,Concrete slab,Cement,2025,1024371,0.83,6,Rural,38969000
Gampaha,Wattala,6,2,2,36,1,TRUE,FALSE,Both,Single phase,2,2021,11440117,Gampaha,House,1440,5,Good,Semi furnished,15,0.81,1.38,TRUE,FALSE,TRUE,FALSE,Tile,Cement,2023,1906686,1,5,Urban,27746000
Trincomalee,Uppuveli,5,2,2,52,1,TRUE,FALSE,Pipe-borne,Single phase,1,2019,7203560,Trincomalee,Annex,1060,7,Good,Fully furnished,10,5.31,6,FALSE,FALSE,TRUE,FALSE,Concrete slab,Tile,2026,1440712,1,5,Semi-urban,17451000
Monaragala,Monaragala Central,12,6,5,105,1,TRUE,FALSE,Pipe-borne,Three phase,2,1992,10774513,Monaragala,House,3020,34,Needs renovation,Unfurnished,20,3.38,4.83,TRUE,TRUE,FALSE,FALSE,Concrete slab,Tile,2023,897876,0.83,4,Rural,19173000
Badulla,Badulla Town,9,3,2,75,3,FALSE,TRUE,Pipe-borne,Single phase,2,1999,10622845,Badulla,House,1930,27,Needs renovation,Unfurnished,10,1.06,5.6,TRUE,FALSE,TRUE,FALSE,Concrete slab,Cement,2026,1180316,0.67,7,Semi-urban,17627000
Jaffna,Chunnakam,11,6,5,75,1,TRUE,TRUE,Pipe-borne,Three phase,1,2021,14980367,Jaffna,House,2790,5,Good,Semi furnished,12,1.24,2.65,FALSE,FALSE,TRUE,FALSE,Concrete slab,Tile,2024,1361852,0.83,7,Urban,42349000
Matale,Matale Central,4,2,1,51,1,FALSE,FALSE,Pipe-borne,Three phase,1,1989,5056899,Matale,House,920,37,Needs renovation,Fully furnished,15,2.47,10.69,FALSE,FALSE,TRUE,FALSE,Asbestos,Tile,2026,1264225,0.5,5,Semi-urban,9254000
Kegalle,Kegalle Central,14,6,5,155,1,FALSE,FALSE,Pipe-borne,Three phase,2,2021,22603998,Kegalle,House,3140,5,Good,Unfurnished,25,0.71,9.19,TRUE,FALSE,FALSE,FALSE,Concrete slab,Granite,2024,1614571,0.83,3,Semi-urban,46752000
Ampara,Ampara Central,20,7,5,174,2,FALSE,TRUE,Well,Single phase,3,1989,25584330,Ampara,Bungalow,3720,37,Needs renovation,Fully furnished,15,4.9,7.1,TRUE,FALSE,FALSE,TRUE,Asbestos,Tile,2025,1279216,0.71,8,Rural,36143000
Kilinochchi,Kilinochchi Central,9,2,1,72,1,TRUE,TRUE,Well,Single phase,2,2021,8930666,Kilinochchi,House,1430,5,Good,Fully furnished,10,4.28,4.25,TRUE,FALSE,TRUE,FALSE,Concrete slab,Tile,2025,992296,0.5,8,Rural,21677000
Nuwara Eliya,Nuwara Eliya Central,16,5,4,142,2,FALSE,TRUE,Well,Single phase,1,2025,33927025,Nuwara Eliya,House,2540,1,New,Unfurnished,12,2.7,7.52,TRUE,FALSE,TRUE,FALSE,Tile,Tile,2026,2120439,0.8,6,Semi-urban,54027000
Matale,Matale Central,8,4,4,69,0,TRUE,FALSE,Pipe-borne,Three phase,2,2018,7120767,Matale,House,1950,8,Good,Semi furnished,12,2.11,8.11,TRUE,FALSE,TRUE,FALSE,Concrete slab,Terrazzo,2024,890096,1,5,Semi-urban,24923000
Mannar,Mannar Central,14,5,4,146,3,TRUE,FALSE,Well,Single phase,1,2010,14105999,Mannar,House,2720,16,Average,Unfurnished,15,6.7,11.59,FALSE,FALSE,FALSE,FALSE,Concrete slab,Granite,2025,1007571,0.8,4,Rural,28788000
Kegalle,Kegalle Central,2,3,2,35,0,FALSE,FALSE,Well,Three phase,2,1995,3012218,Kegalle,House,1400,31,Needs renovation,Unfurnished,10,0.99,7.39,TRUE,FALSE,FALSE,FALSE,Concrete slab,Cement,2023,1506109,0.67,2,Semi-urban,8137000
Kilinochchi,Kilinochchi Central,15,5,5,115,2,TRUE,FALSE,Pipe-borne,Single phase,1,2024,16559619,Kilinochchi,House,2650,2,New,Unfurnished,20,4.02,19.8,FALSE,FALSE,FALSE,FALSE,Concrete slab,Tile,2025,1103975,1,3,Rural,36468000
Matale,Matale Central,7,2,1,63,0,FALSE,FALSE,Both,Three phase,1,1995,4725222,Matale,House,1240,31,Needs renovation,Unfurnished,20,0.77,11.1,FALSE,FALSE,FALSE,TRUE,Asbestos,Tile,2025,675032,0.5,2,Semi-urban,10613000
Kandy,Katugastota,2,2,2,35,3,TRUE,TRUE,Both,Single phase,2,1986,6218991,Kandy,Apartment,1200,40,Needs renovation,Unfurnished,12,1.55,0.97,TRUE,FALSE,TRUE,TRUE,Concrete slab,Cement,2026,3109496,1,9,Urban,10289000
Kegalle,Kegalle Central,15,3,3,137,1,FALSE,FALSE,Pipe-borne,Single phase,2,2021,15601050,Kegalle,House,2110,5,Good,Unfurnished,10,2.04,11.85,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2023,1040070,1,2,Semi-urban,33685000
Ratnapura,Kuruwita,3,1,1,35,1,TRUE,FALSE,Well,Single phase,1,2019,5308030,Ratnapura,Annex,780,7,Good,Unfurnished,20,2.59,8.54,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2026,1769343,1,3,Semi-urban,10609000
Ampara,Ampara Central,6,1,1,91,1,TRUE,FALSE,Pipe-borne,Single phase,1,2010,7679827,Ampara,House,1040,16,Average,Fully furnished,15,5.27,9.68,TRUE,FALSE,TRUE,FALSE,Tile,Terrazzo,2023,1279971,1,6,Rural,15220000
Kurunegala,Pannala,38,7,5,250,2,TRUE,TRUE,Well,Single phase,2,2013,42314280,Kurunegala,House,3640,13,Average,Unfurnished,12,2.46,2.42,TRUE,FALSE,TRUE,FALSE,Asbestos,Granite,2025,1113534,0.71,7,Urban,70192000
Matale,Matale Central,12,4,3,133,0,TRUE,FALSE,Well,Single phase,2,1997,14548650,Matale,House,2370,29,Needs renovation,Unfurnished,10,2,9.44,TRUE,FALSE,TRUE,FALSE,Asbestos,Cement,2025,1212388,0.75,3,Semi-urban,22689000
Kegalle,Kegalle Central,6,2,2,53,2,TRUE,FALSE,Well,Single phase,1,2017,6633031,Kegalle,House,1190,9,Good,Unfurnished,20,0.79,8.16,FALSE,FALSE,FALSE,FALSE,Tile,Tile,2023,1105505,1,3,Semi-urban,16595000
Ampara,Ampara Central,16,5,4,217,2,TRUE,FALSE,Both,Three phase,2,2014,21947871,Ampara,House,2990,12,Good,Unfurnished,12,1.78,19.95,TRUE,TRUE,TRUE,TRUE,Concrete slab,Tile,2024,1371742,0.8,7,Rural,36365000
Polonnaruwa,Polonnaruwa Central,2,1,1,35,2,FALSE,FALSE,Well,Single phase,1,1994,3744830,Polonnaruwa,House,900,32,Needs renovation,Fully furnished,10,2.46,6.23,FALSE,TRUE,TRUE,TRUE,Asbestos,Cement,2026,1872415,1,6,Semi-urban,7791000
Batticaloa,Kallady,8,3,2,58,1,FALSE,FALSE,Well,Single phase,1,2020,9701066,Batticaloa,House,1610,6,Good,Semi furnished,30,7.37,12.3,FALSE,FALSE,TRUE,FALSE,Asbestos,Tile,2025,1212633,0.67,3,Rural,19276000
Badulla,Badulla Town,7,3,2,66,0,FALSE,TRUE,Both,Single phase,1,2023,8628362,Badulla,House,1380,3,New,Semi furnished,15,4.16,6.1,TRUE,FALSE,TRUE,FALSE,Concrete slab,Wood,2025,1232623,0.67,5,Semi-urban,23507000
Hambantota,Tangalle,12,6,5,138,0,FALSE,FALSE,Well,Single phase,1,1993,12682027,Hambantota,House,2900,33,Needs renovation,Semi furnished,12,4.11,2.37,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2025,1056836,0.83,2,Semi-urban,24367000
Polonnaruwa,Polonnaruwa Central,17,5,4,152,1,TRUE,TRUE,Both,Single phase,1,1987,14705849,Polonnaruwa,House,2490,39,Needs renovation,Unfurnished,15,1.73,5.58,TRUE,TRUE,TRUE,FALSE,Asbestos,Cement,2024,865050,0.8,6,Semi-urban,21258000
Batticaloa,Kallady,32,6,5,250,2,FALSE,FALSE,Both,Three phase,2,2011,37716652,Batticaloa,Villa,3350,15,Average,Unfurnished,10,3.43,14.69,FALSE,TRUE,FALSE,FALSE,Concrete slab,Cement,2023,1178645,0.83,3,Rural,52825000
Badulla,Badulla Town,7,3,2,85,1,FALSE,FALSE,Pipe-borne,Three phase,1,2017,7668541,Badulla,House,1600,9,Good,Semi furnished,15,3.33,5.34,TRUE,FALSE,TRUE,FALSE,Tile,Tile,2023,1095506,0.67,5,Semi-urban,22595000
Colombo,Bambalapitiya,5,2,1,78,0,TRUE,TRUE,Both,Three phase,2,2025,18519064,Colombo,House,1360,1,New,Unfurnished,20,2.19,2.85,FALSE,FALSE,TRUE,TRUE,Concrete slab,Tile,2025,3703813,0.5,6,Urban,55879000
Jaffna,Kokuvil,13,5,4,103,1,FALSE,TRUE,Pipe-borne,Single phase,1,1998,17082805,Jaffna,House,2340,28,Needs renovation,Unfurnished,30,1.6,0.42,TRUE,FALSE,TRUE,FALSE,Asbestos,Tile,2025,1314062,0.8,5,Urban,26299000
Anuradhapura,Madawachchiya,7,1,1,79,2,FALSE,TRUE,Pipe-borne,Single phase,2,1999,9419562,Anuradhapura,House,1110,27,Needs renovation,Semi furnished,15,5.46,2.46,TRUE,FALSE,FALSE,TRUE,Concrete slab,Cement,2024,1345652,1,7,Semi-urban,13222000
Galle,Hikkaduwa,9,4,3,78,1,TRUE,TRUE,Pipe-borne,Single phase,1,1988,12626023,Galle,House,1950,38,Needs renovation,Semi furnished,25,0.82,4.98,TRUE,FALSE,TRUE,TRUE,Asbestos,Tile,2024,1402891,0.75,8,Urban,27349000
Anuradhapura,Nuwaragam Palatha,19,7,5,155,1,TRUE,FALSE,Pipe-borne,Single phase,1,2016,22526227,Anuradhapura,House,3280,10,Good,Unfurnished,25,5.16,11.52,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2026,1185591,0.71,3,Semi-urban,43240000
Ratnapura,Ratnapura Town,21,6,5,145,2,TRUE,TRUE,Both,Single phase,2,2020,21018316,Ratnapura,House,3120,6,Good,Unfurnished,12,1.27,11.14,TRUE,FALSE,FALSE,TRUE,Concrete slab,Cement,2024,1000872,0.83,7,Semi-urban,47624000
Puttalam,Puttalam Central,11,6,5,113,1,FALSE,TRUE,Pipe-borne,Three phase,1,2016,15254154,Puttalam,House,2850,10,Good,Semi furnished,15,2.07,7.86,TRUE,FALSE,TRUE,FALSE,Concrete slab,Granite,2023,1386741,0.83,7,Semi-urban,39792000
Badulla,Hali Ela,20,5,5,250,2,TRUE,FALSE,Both,Single phase,2,1995,24160773,Badulla,House,2920,31,Needs renovation,Fully furnished,15,3.9,5.29,TRUE,FALSE,TRUE,FALSE,Concrete slab,Tile,2026,1208039,1,7,Semi-urban,38999000
Monaragala,Monaragala Central,15,7,5,174,2,TRUE,FALSE,Well,Single phase,2,2023,17589103,Monaragala,House,3290,3,New,Unfurnished,20,7.88,14.67,TRUE,FALSE,FALSE,TRUE,Tile,Wood,2024,1172607,0.71,5,Rural,43475000
Trincomalee,Nilaveli,8,3,2,91,0,FALSE,FALSE,Both,Three phase,1,1998,8201406,Trincomalee,House,1670,28,Needs renovation,Unfurnished,15,3.76,9.11,TRUE,FALSE,FALSE,TRUE,Concrete slab,Tile,2025,1025176,0.67,3,Semi-urban,14500000
Mannar,Mannar Central,14,6,5,80,1,FALSE,FALSE,Both,Single phase,1,1985,10154331,Mannar,House,2680,41,Needs renovation,Unfurnished,10,6.09,5.95,FALSE,FALSE,FALSE,FALSE,Concrete slab,Cement,2023,725309,0.83,1,Rural,16187000
Kilinochchi,Kilinochchi Central,2,1,1,35,1,TRUE,TRUE,Pipe-borne,Three phase,1,1997,3056594,Kilinochchi,House,620,29,Needs renovation,Semi furnished,15,3.38,14.42,TRUE,FALSE,FALSE,FALSE,Asbestos,Cement,2026,1528297,1,7,Rural,4681000
Badulla,Badulla Town,2,1,1,45,1,FALSE,FALSE,Pipe-borne,Single phase,1,2000,2868333,Badulla,House,620,26,Needs renovation,Unfurnished,15,1.11,2.46,TRUE,FALSE,FALSE,FALSE,Asbestos,Cement,2025,1434166,1,2,Semi-urban,5052000
Ampara,Ampara Central,10,3,3,114,0,TRUE,FALSE,Pipe-borne,Three phase,2,1999,9710434,Ampara,House,2030,27,Needs renovation,Semi furnished,15,1.53,13.68,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2024,971043,1,4,Rural,14763000
Matale,Matale Central,17,7,5,207,1,TRUE,FALSE,Well,Single phase,2,1992,21657832,Matale,Villa,3470,34,Needs renovation,Unfurnished,10,1.51,11.2,FALSE,FALSE,FALSE,TRUE,Tile,Terrazzo,2023,1273990,0.71,3,Semi-urban,33362000
Trincomalee,Nilaveli,3,2,1,35,2,FALSE,TRUE,Well,Three phase,1,1994,5683369,Trincomalee,House,1010,32,Needs renovation,Fully furnished,20,3.94,3.6,TRUE,FALSE,FALSE,FALSE,Asbestos,Cement,2026,1894456,0.5,8,Semi-urban,10373000
Nuwara Eliya,Nuwara Eliya Central,6,2,1,61,1,TRUE,FALSE,Pipe-borne,Three phase,1,2002,13885849,Nuwara Eliya,House,1270,24,Average,Fully furnished,20,0.78,5.42,FALSE,FALSE,FALSE,FALSE,Tile,Granite,2023,2314308,0.5,5,Semi-urban,23830000
Badulla,Bandarawela,9,2,1,89,0,TRUE,FALSE,Both,Three phase,1,1994,8097938,Badulla,House,1330,32,Needs renovation,Semi furnished,10,5.26,10.27,TRUE,FALSE,FALSE,TRUE,Asbestos,Cement,2026,899771,0.5,5,Semi-urban,14379000
Anuradhapura,Madawachchiya,9,5,5,80,0,TRUE,FALSE,Pipe-borne,Three phase,2,2007,7221541,Anuradhapura,House,2490,19,Average,Fully furnished,10,1.75,8.16,TRUE,TRUE,TRUE,TRUE,Concrete slab,Tile,2023,802393,1,7,Semi-urban,25275000
Galle,Karapitiya,8,3,3,48,0,TRUE,TRUE,Both,Three phase,1,1997,12122059,Galle,House,1650,29,Needs renovation,Unfurnished,12,2.12,4.68,TRUE,FALSE,TRUE,TRUE,Asbestos,Terrazzo,2025,1515257,1,7,Urban,18487000
Mannar,Mannar Central,3,3,2,35,3,FALSE,FALSE,Both,Three phase,1,2018,3839090,Mannar,House,1520,8,Good,Fully furnished,15,2.54,19.69,FALSE,FALSE,TRUE,FALSE,Concrete slab,Tile,2025,1279697,0.67,7,Rural,13437000
Kalutara,Beruwala,13,5,4,118,2,TRUE,TRUE,Pipe-borne,Single phase,1,1991,18421147,Kalutara,House,2390,35,Needs renovation,Semi furnished,15,1.69,0.35,TRUE,TRUE,TRUE,TRUE,Asbestos,Terrazzo,2024,1417011,0.8,9,Urban,34839000
Gampaha,Ja-Ela,7,1,1,72,1,TRUE,FALSE,Well,Single phase,1,2006,14004012,Gampaha,House,1060,20,Average,Fully furnished,20,2.48,4.13,FALSE,FALSE,FALSE,FALSE,Concrete slab,Terrazzo,2026,2000573,1,4,Urban,22524000
Matale,Matale Central,4,2,1,35,0,FALSE,TRUE,Pipe-borne,Three phase,1,2009,4030645,Matale,House,900,17,Average,Unfurnished,15,1.77,11.05,FALSE,FALSE,FALSE,FALSE,Concrete slab,Terrazzo,2023,1007661,0.5,3,Semi-urban,10658000
Badulla,Hali Ela,6,2,1,103,1,TRUE,TRUE,Pipe-borne,Three phase,1,1994,7972645,Badulla,House,1050,32,Needs renovation,Unfurnished,25,4.51,10.98,TRUE,FALSE,TRUE,TRUE,Asbestos,Cement,2025,1328774,0.5,8,Semi-urban,12484000
Batticaloa,Kallady,11,5,5,110,0,FALSE,TRUE,Well,Single phase,1,2012,13101062,Batticaloa,House,2340,14,Average,Semi furnished,20,7.98,12.92,FALSE,FALSE,TRUE,FALSE,Tile,Terrazzo,2025,1191006,1,4,Rural,25503000
Galle,Karapitiya,10,3,2,95,1,TRUE,FALSE,Pipe-borne,Three phase,2,2009,17128885,Galle,House,1800,17,Average,Unfurnished,25,0.64,3.37,TRUE,FALSE,FALSE,TRUE,Concrete slab,Terrazzo,2026,1712888,0.67,5,Urban,28763000
Galle,Galle Fort,12,4,4,98,0,TRUE,TRUE,Pipe-borne,Single phase,1,2013,18189026,Galle,House,2120,13,Average,Semi furnished,15,0.7,2.36,FALSE,TRUE,FALSE,FALSE,Tile,Tile,2024,1515752,1,4,Urban,39486000
Puttalam,Puttalam Central,11,5,4,92,1,TRUE,FALSE,Well,Three phase,2,2007,10913839,Puttalam,House,2710,19,Average,Semi furnished,25,5.02,6.86,TRUE,FALSE,TRUE,TRUE,Concrete slab,Tile,2024,992167,0.8,7,Semi-urban,32957000
Trincomalee,Nilaveli,4,2,1,35,1,FALSE,FALSE,Both,Single phase,2,2003,5747480,Trincomalee,Annex,1130,23,Average,Semi furnished,10,4.98,1.71,FALSE,FALSE,TRUE,FALSE,Concrete slab,Tile,2023,1436870,0.5,3,Semi-urban,12695000
Batticaloa,Kallady,11,4,4,83,0,TRUE,FALSE,Both,Single phase,1,2019,13230956,Batticaloa,House,2050,7,Good,Fully furnished,20,3.87,13.91,TRUE,TRUE,TRUE,FALSE,Concrete slab,Tile,2024,1202814,1,5,Rural,30925000
Jaffna,Chunnakam,12,4,4,138,1,TRUE,FALSE,Pipe-borne,Single phase,1,2010,19131091,Jaffna,House,2170,16,Average,Semi furnished,12,0.51,1.44,TRUE,FALSE,TRUE,FALSE,Tile,Cement,2024,1594258,1,5,Urban,36597000
Ampara,Ampara Central,10,4,3,71,1,FALSE,FALSE,Both,Three phase,2,1985,10552436,Ampara,House,2190,41,Needs renovation,Unfurnished,15,6.01,17.1,TRUE,TRUE,FALSE,FALSE,Concrete slab,Cement,2023,1055244,0.75,3,Rural,14141000
Ampara,Ampara Central,3,2,1,52,0,TRUE,FALSE,Both,Single phase,2,2012,3636016,Ampara,House,1110,14,Average,Unfurnished,15,8.14,4.84,TRUE,FALSE,TRUE,FALSE,Asbestos,Tile,2023,1212005,0.5,3,Rural,10358000
Galle,Unawatuna,15,5,5,113,2,TRUE,TRUE,Pipe-borne,Three phase,2,2019,24619048,Galle,House,2720,7,Good,Fully furnished,25,0.53,4.06,TRUE,FALSE,FALSE,TRUE,Concrete slab,Tile,2024,1641270,1,10,Urban,63843000
Badulla,Hali Ela,9,3,2,58,1,FALSE,FALSE,Both,Single phase,2,1996,9139728,Badulla,House,1770,30,Needs renovation,Fully furnished,12,4.14,10.34,FALSE,FALSE,TRUE,TRUE,Asbestos,Tile,2024,1015525,0.67,5,Semi-urban,19781000
Jaffna,Chunnakam,22,7,5,145,2,TRUE,TRUE,Well,Three phase,1,2013,29206503,Jaffna,House,3320,13,Average,Unfurnished,12,1.65,0.93,TRUE,TRUE,FALSE,TRUE,Concrete slab,Cement,2024,1327568,0.71,8,Urban,61628000
Mullaitivu,Mullaitivu Central,3,1,1,52,2,TRUE,TRUE,Pipe-borne,Single phase,1,2008,4564606,Mullaitivu,House,820,18,Average,Semi furnished,25,6.37,10.17,FALSE,FALSE,FALSE,FALSE,Tile,Terrazzo,2025,1521535,1,6,Rural,9529000
Matara,Nupe,5,1,1,50,1,TRUE,FALSE,Well,Three phase,1,2014,5401383,Matara,Apartment,940,12,Good,Unfurnished,12,1.6,4.71,TRUE,TRUE,FALSE,TRUE,Concrete slab,Tile,2025,1080277,1,5,Urban,13465000
Trincomalee,China Bay,17,5,4,142,2,FALSE,TRUE,Pipe-borne,Three phase,1,2014,17436067,Trincomalee,House,2750,12,Good,Semi furnished,12,1.5,11.91,TRUE,FALSE,TRUE,FALSE,Tile,Granite,2024,1025651,0.8,8,Semi-urban,46355000
Mannar,Mannar Central,15,7,5,135,3,TRUE,FALSE,Pipe-borne,Three phase,1,2019,17520526,Mannar,Villa,3180,7,Good,Fully furnished,25,6.39,8.4,TRUE,FALSE,TRUE,FALSE,Tile,Cement,2024,1168035,0.71,9,Rural,47877000
Batticaloa,Eravur,32,6,5,250,2,FALSE,TRUE,Both,Single phase,3,1987,48456528,Batticaloa,House,3630,39,Needs renovation,Unfurnished,20,5.27,16.61,FALSE,TRUE,FALSE,TRUE,Concrete slab,Terrazzo,2026,1514266,0.83,5,Rural,44408000
Hambantota,Hambantota Town,15,6,5,154,2,FALSE,TRUE,Pipe-borne,Single phase,1,2000,16273353,Hambantota,House,3120,26,Needs renovation,Fully furnished,15,1.9,2.25,FALSE,TRUE,TRUE,FALSE,Concrete slab,Tile,2024,1084890,0.83,7,Semi-urban,38643000
Vavuniya,Vavuniya Central,2,3,2,35,1,TRUE,FALSE,Both,Single phase,2,1995,3267141,Vavuniya,House,1480,31,Needs renovation,Fully furnished,15,1.81,6.52,TRUE,FALSE,TRUE,FALSE,Concrete slab,Tile,2026,1633570,0.67,6,Rural,10173000
Nuwara Eliya,Nuwara Eliya Central,8,3,2,93,1,TRUE,TRUE,Well,Single phase,1,2022,23612564,Nuwara Eliya,House,1580,4,Good,Unfurnished,30,1.78,2.79,FALSE,FALSE,FALSE,FALSE,Asbestos,Tile,2024,2951570,0.67,4,Semi-urban,32683000
Puttalam,Puttalam Central,26,5,4,250,2,TRUE,FALSE,Both,Single phase,2,2004,36814289,Puttalam,Bungalow,3060,22,Average,Semi furnished,12,4.75,9.73,TRUE,FALSE,TRUE,TRUE,Concrete slab,Tile,2025,1415934,0.8,7,Semi-urban,54442000
Matara,Akurugoda,23,5,4,188,1,FALSE,FALSE,Well,Three phase,2,2012,32160544,Matara,House,2720,14,Average,Fully furnished,12,1.64,4.55,TRUE,FALSE,TRUE,TRUE,Tile,Tile,2023,1398285,0.8,7,Urban,63616000
Trincomalee,Nilaveli,5,1,1,37,1,TRUE,FALSE,Well,Single phase,1,1985,5671325,Trincomalee,House,960,41,Needs renovation,Unfurnished,12,1.17,2.2,TRUE,FALSE,FALSE,TRUE,Asbestos,Cement,2025,1134265,1,4,Semi-urban,8060000
Kandy,Kandy City,9,4,4,123,2,TRUE,TRUE,Well,Three phase,2,1999,19715743,Kandy,House,2390,27,Needs renovation,Unfurnished,25,1.87,4.09,FALSE,FALSE,FALSE,TRUE,Asbestos,Cement,2025,2190638,1,7,Urban,28865000
Colombo,Narahenpita,7,1,1,76,1,TRUE,TRUE,Well,Three phase,1,1987,20328820,Colombo,House,960,39,Needs renovation,Semi furnished,30,0.45,2.68,FALSE,TRUE,TRUE,FALSE,Tile,Cement,2024,2904117,1,7,Urban,59421000
Mullaitivu,Mullaitivu Central,2,3,2,35,2,TRUE,FALSE,Well,Three phase,1,1989,3407763,Mullaitivu,House,1220,37,Needs renovation,Unfurnished,12,1.56,13.61,TRUE,FALSE,FALSE,FALSE,Asbestos,Tile,2025,1703882,0.67,5,Rural,6028000
Gampaha,Ja-Ela,12,5,5,93,1,TRUE,FALSE,Pipe-borne,Three phase,1,2022,16885923,Gampaha,House,2600,4,Good,Semi furnished,20,2.5,4.77,FALSE,FALSE,TRUE,TRUE,Concrete slab,Tile,2024,1407160,1,6,Urban,47923000
Batticaloa,Eravur,11,3,3,74,0,TRUE,TRUE,Both,Single phase,1,1997,11158272,Batticaloa,House,1640,29,Needs renovation,Unfurnished,20,7.89,13.24,TRUE,FALSE,FALSE,FALSE,Tile,Cement,2025,1014388,1,4,Rural,14620000
Ratnapura,Ratnapura Town,24,4,4,250,2,TRUE,FALSE,Well,Single phase,2,2007,33244747,Ratnapura,House,2690,19,Average,Semi furnished,15,1.71,3.97,TRUE,TRUE,TRUE,FALSE,Asbestos,Terrazzo,2024,1385198,1,6,Semi-urban,51993000
Kilinochchi,Kilinochchi Central,5,2,1,62,3,TRUE,FALSE,Well,Three phase,2,1989,5349020,Kilinochchi,House,1430,37,Needs renovation,Semi furnished,12,6.86,14.04,TRUE,FALSE,TRUE,TRUE,Concrete slab,Cement,2023,1069804,0.5,9,Rural,10903000
Kilinochchi,Kilinochchi Central,23,7,5,165,2,TRUE,FALSE,Pipe-borne,Single phase,1,2003,17722090,Kilinochchi,House,3370,23,Average,Unfurnished,10,6.22,15.06,TRUE,FALSE,FALSE,FALSE,Concrete slab,Cement,2024,770526,0.71,4,Rural,33536000
Puttalam,Puttalam Central,9,1,1,102,1,TRUE,TRUE,Pipe-borne,Single phase,2,1986,9208539,Puttalam,House,1190,40,Needs renovation,Unfurnished,15,5.11,6.05,TRUE,FALSE,TRUE,TRUE,Tile,Cement,2026,1023171,1,7,Semi-urban,12096000
Trincomalee,China Bay,7,2,1,62,1,FALSE,FALSE,Well,Three phase,1,1992,8743595,Trincomalee,House,1050,34,Needs renovation,Semi furnished,12,1.19,5.62,TRUE,FALSE,TRUE,FALSE,Asbestos,Terrazzo,2025,1249085,0.5,5,Semi-urban,12349000
